Seed = 101, Score = 30015.0, RunTime = 9896 ms
Seed = 102, Score = 28046.0, RunTime = 9628 ms
Seed = 103, Score = 57534.0, RunTime = 9625 ms
Seed = 104, Score = 55022.0, RunTime = 9628 ms
Seed = 105, Score = 48511.0, RunTime = 9627 ms
Seed = 106, Score = 1707.0, RunTime = 9626 ms
Seed = 107, Score = 86361.0, RunTime = 9626 ms
Seed = 108, Score = 32293.0, RunTime = 9629 ms
Seed = 109, Score = 51548.0, RunTime = 9623 ms
Seed = 110, Score = 79161.0, RunTime = 9629 ms
Seed = 111, Score = 78700.0, RunTime = 9626 ms
Seed = 112, Score = 53018.0, RunTime = 9624 ms
Seed = 113, Score = 78197.0, RunTime = 9629 ms
Seed = 114, Score = 37079.0, RunTime = 9626 ms
Seed = 115, Score = 45157.0, RunTime = 9629 ms
Seed = 116, Score = 42430.0, RunTime = 9627 ms
Seed = 117, Score = 70006.0, RunTime = 9629 ms
Seed = 118, Score = 70161.0, RunTime = 9629 ms
Seed = 119, Score = 84007.0, RunTime = 9630 ms
Seed = 120, Score = 9899.0, RunTime = 9627 ms
Seed = 121, Score = 97004.0, RunTime = 9628 ms
Seed = 122, Score = 55389.0, RunTime = 9625 ms
Seed = 123, Score = 88012.0, RunTime = 9629 ms
Seed = 124, Score = 51446.0, RunTime = 9623 ms
Seed = 125, Score = 84042.0, RunTime = 9628 ms
Seed = 126, Score = 78028.0, RunTime = 9629 ms
Seed = 127, Score = 32008.0, RunTime = 9628 ms
Seed = 128, Score = 31840.0, RunTime = 9626 ms
Seed = 129, Score = 90113.0, RunTime = 9629 ms
Seed = 130, Score = 60391.0, RunTime = 9625 ms
Seed = 131, Score = 35375.0, RunTime = 9628 ms
Seed = 132, Score = 24050.0, RunTime = 9627 ms
Seed = 133, Score = 28061.0, RunTime = 9627 ms
Seed = 134, Score = 19207.0, RunTime = 9628 ms
Seed = 135, Score = 34118.0, RunTime = 9629 ms
Seed = 136, Score = 24000.0, RunTime = 9628 ms
Seed = 137, Score = 43839.0, RunTime = 9625 ms
Seed = 138, Score = 51608.0, RunTime = 9629 ms
Seed = 139, Score = 21073.0, RunTime = 9629 ms
Seed = 140, Score = 76607.0, RunTime = 9627 ms
Seed = 141, Score = 57770.0, RunTime = 9624 ms
Seed = 142, Score = 31157.0, RunTime = 9629 ms
Seed = 143, Score = 39280.0, RunTime = 9626 ms
Seed = 144, Score = 39218.0, RunTime = 9625 ms
Seed = 145, Score = 69754.0, RunTime = 9628 ms
Seed = 146, Score = 23124.0, RunTime = 9628 ms
Seed = 147, Score = 31003.0, RunTime = 9626 ms
Seed = 148, Score = 42000.0, RunTime = 9629 ms
Seed = 149, Score = 44143.0, RunTime = 9628 ms
Seed = 150, Score = 60004.0, RunTime = 9627 ms
Seed = 151, Score = 21212.0, RunTime = 9629 ms
Seed = 152, Score = 22726.0, RunTime = 9627 ms
Seed = 153, Score = 54216.0, RunTime = 9627 ms
Seed = 154, Score = 82113.0, RunTime = 9625 ms
Seed = 155, Score = 40045.0, RunTime = 9629 ms
Seed = 156, Score = 53077.0, RunTime = 9626 ms
Seed = 157, Score = 67554.0, RunTime = 9627 ms
Seed = 158, Score = 81178.0, RunTime = 9628 ms
