Seed = 1, Score = 78.0, RunTime = 7491 ms
Seed = 2, Score = 476.0, RunTime = 8404 ms
Seed = 3, Score = 536.0, RunTime = 7754 ms
Seed = 4, Score = 260.0, RunTime = 7451 ms
Seed = 5, Score = 1131.0, RunTime = 4534 ms
Seed = 6, Score = 648.0, RunTime = 7846 ms
Seed = 7, Score = 614.0, RunTime = 8268 ms
Seed = 8, Score = 112.0, RunTime = 7645 ms
Seed = 9, Score = 424.0, RunTime = 6773 ms
Seed = 10, Score = 562.0, RunTime = 6521 ms
Seed = 11, Score = 140.0, RunTime = 7538 ms
Seed = 12, Score = 146.0, RunTime = 7770 ms
Seed = 13, Score = 12031.0, RunTime = 1117 ms
Seed = 14, Score = 190.0, RunTime = 9459 ms
Seed = 15, Score = 342.0, RunTime = 7413 ms
Seed = 16, Score = 154.0, RunTime = 7975 ms
Seed = 17, Score = 424.0, RunTime = 7550 ms
Seed = 18, Score = 488.0, RunTime = 4760 ms
Seed = 19, Score = 104.0, RunTime = 7456 ms
Seed = 20, Score = 104.0, RunTime = 7613 ms
Seed = 21, Score = 1713.0, RunTime = 6121 ms
Seed = 22, Score = 230.0, RunTime = 8029 ms
Seed = 23, Score = 622.0, RunTime = 7829 ms
Seed = 24, Score = 318.0, RunTime = 8263 ms
Seed = 25, Score = 378.0, RunTime = 7745 ms
Seed = 26, Score = 190.0, RunTime = 8014 ms
Seed = 27, Score = 476.0, RunTime = 6647 ms
Seed = 28, Score = 158.0, RunTime = 6770 ms
Seed = 29, Score = 112.0, RunTime = 7311 ms
Seed = 30, Score = 400.0, RunTime = 7170 ms
Seed = 31, Score = 188.0, RunTime = 7326 ms
Seed = 32, Score = 124.0, RunTime = 7688 ms
Seed = 33, Score = 4941.0, RunTime = 3502 ms
Seed = 34, Score = 414.0, RunTime = 9025 ms
Seed = 35, Score = 306.0, RunTime = 7568 ms
Seed = 36, Score = 772.0, RunTime = 7858 ms
Seed = 37, Score = 466.0, RunTime = 7072 ms
Seed = 38, Score = 401.0, RunTime = 7585 ms
Seed = 39, Score = 240.0, RunTime = 8132 ms
Seed = 40, Score = 72.0, RunTime = 7920 ms
Seed = 41, Score = 114.0, RunTime = 7563 ms
Seed = 42, Score = 210.0, RunTime = 7446 ms
Seed = 43, Score = 406.0, RunTime = 7034 ms
Seed = 44, Score = 190.0, RunTime = 7113 ms
Seed = 45, Score = 1251.0, RunTime = 7312 ms
Seed = 46, Score = 11019.0, RunTime = 5567 ms
Seed = 47, Score = 274.0, RunTime = 7910 ms
Seed = 48, Score = 346.0, RunTime = 8038 ms
Seed = 49, Score = 430.0, RunTime = 8287 ms
Seed = 50, Score = 324.0, RunTime = 7258 ms
Seed = 51, Score = 302.0, RunTime = 8634 ms
Seed = 52, Score = 402.0, RunTime = 9640 ms
Seed = 53, Score = 362.0, RunTime = 7614 ms
Seed = 54, Score = 324.0, RunTime = 7903 ms
Seed = 55, Score = 484.0, RunTime = 9229 ms
Cannot parse your output

Seed = 56, Score = -1.0, RunTime = 10060 ms
Seed = 57, Score = 354.0, RunTime = 6841 ms
Seed = 58, Score = 304.0, RunTime = 6059 ms
Seed = 59, Score = 324.0, RunTime = 8307 ms
Seed = 60, Score = 392.0, RunTime = 7586 ms
Seed = 61, Score = 9199.0, RunTime = 2015 ms
Seed = 62, Score = 2915.0, RunTime = 6584 ms
Seed = 63, Score = 260.0, RunTime = 6948 ms
Seed = 64, Score = 452.0, RunTime = 7905 ms
Seed = 65, Score = 120.0, RunTime = 7643 ms
Seed = 66, Score = 448.0, RunTime = 7369 ms
Seed = 67, Score = 368.0, RunTime = 8181 ms
Seed = 68, Score = 138.0, RunTime = 9049 ms
Seed = 69, Score = 12567.0, RunTime = 4889 ms
Seed = 70, Score = 524.0, RunTime = 7933 ms
Seed = 71, Score = 114.0, RunTime = 7901 ms
Seed = 72, Score = 352.0, RunTime = 8177 ms
Seed = 73, Score = 247.0, RunTime = 6875 ms
Seed = 74, Score = 340.0, RunTime = 7708 ms
Seed = 75, Score = 500.0, RunTime = 7790 ms
Seed = 76, Score = 180.0, RunTime = 7462 ms
Seed = 77, Score = 2421.0, RunTime = 5319 ms
Seed = 78, Score = 88.0, RunTime = 7489 ms
Seed = 79, Score = 132.0, RunTime = 7590 ms
Seed = 80, Score = 453.0, RunTime = 8648 ms
Seed = 81, Score = 352.0, RunTime = 7162 ms
Seed = 82, Score = 626.0, RunTime = 6804 ms
Seed = 83, Score = 564.0, RunTime = 7620 ms
Seed = 84, Score = 188.0, RunTime = 7283 ms
Seed = 85, Score = 136.0, RunTime = 8081 ms
Seed = 86, Score = 408.0, RunTime = 7711 ms
Seed = 87, Score = 482.0, RunTime = 7750 ms
Seed = 88, Score = 656.0, RunTime = 7821 ms
Seed = 89, Score = 2089.0, RunTime = 6569 ms
Seed = 90, Score = 380.0, RunTime = 8313 ms
Seed = 91, Score = 562.0, RunTime = 7900 ms
Seed = 92, Score = 158.0, RunTime = 7492 ms
Seed = 93, Score = 646.0, RunTime = 7798 ms
Seed = 94, Score = 206.0, RunTime = 8362 ms
Seed = 95, Score = 246.0, RunTime = 7757 ms
Seed = 96, Score = 1443.0, RunTime = 7285 ms
Seed = 97, Score = 410.0, RunTime = 6655 ms
Seed = 98, Score = 164.0, RunTime = 6997 ms
Seed = 99, Score = 162.0, RunTime = 7818 ms
Seed = 100, Score = 402.0, RunTime = 7868 ms

            Seeds: 1 to 100
   Executed Cases: 100
     Failed Cases: 1
    Avg. Run Time: 7388 ms
    Max. Run Time: 10060 ms
