25 (1): {0.009, 0.018, 0.018, 0.027, 0.036, 0.036, 0.036, 0.036, 0.045, 0.045, 0.045, 0.045, 0.054, 0.054, 0.054, 0.072, 0.072, 0.081, 0.081, 0.09, 0.099, 0.108, 0.108, 0.126, 0.135, 0.135, 0.144, 0.144, 0.153, 0.162, 0.171, 0.171, 0.18, 0.18, 0.18, 0.189, 0.189, 0.189, 0.189, 0.189, 0.189, 0.198, 0.216, 0.216, 0.216, 0.225, 0.225, 0.234, 0.243, 0.252, 0.261, 0.27, 0.27, 0.27, 0.27, 0.279, 0.279, 0.288, 0.288, 0.288, 0.297, 0.306, 0.306, 0.306, 0.306, 0.333, 0.342, 0.342, 0.342, 0.342, 0.342, 0.351, 0.36, 0.369, 0.369, 0.369, 0.378, 0.387, 0.387, 0.387, 0.396, 0.405, 0.414, 0.414, 0.432, 0.432, 0.459, 0.468, 0.477, 0.486, 0.486, 0.504, 0.504, 0.513, 0.513, 0.513, 0.522, 0.531, 0.531, 0.531},
26 (6): {0.006, 0.012, 0.027, 0.03, 0.0435, 0.048, 0.054, 0.057, 0.063, 0.0675, 0.0705, 0.084, 0.0885, 0.0975, 0.105, 0.1155, 0.12, 0.1275, 0.129, 0.1365, 0.147, 0.153, 0.1605, 0.1665, 0.171, 0.174, 0.1785, 0.186, 0.1905, 0.201, 0.2025, 0.21, 0.219, 0.2235, 0.228, 0.231, 0.2355, 0.2415, 0.2475, 0.2505, 0.2565, 0.261, 0.264, 0.2685, 0.276, 0.282, 0.288, 0.2925, 0.297, 0.2985, 0.306, 0.3105, 0.3165, 0.3255, 0.3315, 0.3375, 0.339, 0.3495, 0.354, 0.357, 0.363, 0.3675, 0.3705, 0.375, 0.378, 0.381, 0.384, 0.3885, 0.3945, 0.3975, 0.4005, 0.405, 0.4095, 0.4155, 0.4185, 0.42, 0.4245, 0.4305, 0.4365, 0.444, 0.444, 0.4455, 0.453, 0.453, 0.456, 0.468, 0.471, 0.477, 0.48, 0.4845, 0.4905, 0.4935, 0.504, 0.5055, 0.5055, 0.513, 0.519, 0.5235, 0.528, 0.5385},
27 (26): {0.00346154, 0.0107308, 0.018, 0.0266538, 0.0328846, 0.0408462, 0.0474231, 0.0564231, 0.0661154, 0.0733846, 0.0796154, 0.0868846, 0.0924231, 0.100385, 0.108346, 0.114231, 0.122538, 0.130154, 0.137769, 0.144692, 0.152654, 0.160269, 0.166154, 0.174808, 0.179654, 0.185538, 0.191077, 0.196962, 0.201115, 0.205269, 0.213231, 0.221192, 0.225, 0.231923, 0.234692, 0.239885, 0.247154, 0.252, 0.255808, 0.260654, 0.266885, 0.271731, 0.275538, 0.278308, 0.286269, 0.289731, 0.291808, 0.298385, 0.303231, 0.307038, 0.309808, 0.313269, 0.317769, 0.322269, 0.326769, 0.332654, 0.336808, 0.341308, 0.344423, 0.348231, 0.354808, 0.361038, 0.3645, 0.370731, 0.375923, 0.379731, 0.385615, 0.388731, 0.392538, 0.396346, 0.401538, 0.406038, 0.412615, 0.416769, 0.420577, 0.425769, 0.429577, 0.436154, 0.441692, 0.446538, 0.449308, 0.452423, 0.457962, 0.461769, 0.466615, 0.471462, 0.476654, 0.4815, 0.484615, 0.488769, 0.493962, 0.4995, 0.505731, 0.508846, 0.513, 0.517154, 0.524423, 0.530308, 0.533769, 0.538269},
28 (119): {0.00544538, 0.0147479, 0.0226891, 0.030479, 0.039479, 0.0465126, 0.0572521, 0.0653445, 0.0719244, 0.080395, 0.087958, 0.095521, 0.102252, 0.108832, 0.115185, 0.122218, 0.128496, 0.134849, 0.141882, 0.147857, 0.153529, 0.159882, 0.166992, 0.17342, 0.178941, 0.183555, 0.189529, 0.194748, 0.200571, 0.205714, 0.211462, 0.218496, 0.223639, 0.229387, 0.234454, 0.240353, 0.24595, 0.251546, 0.25737, 0.261756, 0.266067, 0.270832, 0.275218, 0.280437, 0.285126, 0.288983, 0.293067, 0.296849, 0.301462, 0.306227, 0.310765, 0.316361, 0.320975, 0.325739, 0.33058, 0.334437, 0.339655, 0.345101, 0.349034, 0.353571, 0.357882, 0.361513, 0.366655, 0.370588, 0.375277, 0.379513, 0.384504, 0.389345, 0.394487, 0.398798, 0.404017, 0.409462, 0.414303, 0.417782, 0.422849, 0.427538, 0.431622, 0.436765, 0.441832, 0.446521, 0.450454, 0.455672, 0.460664, 0.465277, 0.470269, 0.474126, 0.479118, 0.483882, 0.488723, 0.493109, 0.498176, 0.501882, 0.507025, 0.512395, 0.516555, 0.521622, 0.526008, 0.530168, 0.534479, 0.538034},
29 (550): {0.00490909, 0.0129927, 0.02196, 0.0303218, 0.03852, 0.0466691, 0.0540327, 0.0614455, 0.0694145, 0.0764673, 0.0842236, 0.0906545, 0.0982145, 0.105104, 0.111518, 0.118015, 0.125018, 0.131318, 0.13734, 0.143787, 0.150464, 0.156256, 0.162851, 0.169495, 0.174829, 0.18054, 0.186644, 0.192109, 0.198295, 0.204038, 0.209176, 0.214773, 0.220402, 0.226047, 0.230858, 0.236144, 0.241331, 0.246895, 0.251918, 0.256795, 0.261671, 0.266776, 0.271718, 0.276889, 0.281798, 0.286904, 0.291633, 0.296525, 0.301647, 0.306458, 0.311089, 0.315736, 0.320515, 0.325473, 0.33012, 0.334767, 0.339676, 0.344438, 0.348742, 0.353765, 0.358315, 0.362978, 0.367724, 0.372158, 0.376756, 0.381207, 0.385953, 0.390371, 0.394675, 0.399305, 0.404133, 0.409107, 0.413755, 0.418729, 0.423196, 0.428253, 0.432622, 0.437073, 0.442064, 0.446351, 0.451162, 0.455825, 0.460244, 0.465071, 0.469145, 0.473531, 0.478129, 0.482695, 0.487227, 0.491711, 0.496293, 0.501316, 0.506193, 0.510955, 0.516109, 0.520331, 0.525502, 0.530002, 0.534616, 0.538429},
30 (2073): {0.00464978, 0.0120738, 0.0201751, 0.0283068, 0.0365297, 0.044288, 0.0519291, 0.0592663, 0.0667988, 0.0742576, 0.081356, 0.0883849, 0.0951404, 0.101687, 0.108421, 0.115098, 0.121867, 0.128258, 0.134557, 0.140809, 0.147039, 0.153126, 0.159265, 0.165352, 0.171521, 0.177417, 0.183161, 0.188918, 0.194522, 0.200262, 0.205446, 0.21119, 0.216973, 0.222399, 0.227674, 0.232858, 0.238263, 0.243621, 0.248757, 0.25424, 0.259272, 0.264443, 0.269344, 0.274246, 0.279091, 0.283988, 0.288625, 0.293518, 0.29865, 0.303352, 0.308153, 0.312955, 0.317614, 0.32225, 0.32723, 0.33188, 0.336308, 0.341366, 0.346085, 0.350913, 0.355645, 0.360456, 0.365132, 0.369946, 0.374787, 0.379528, 0.384126, 0.38865, 0.393547, 0.398219, 0.402721, 0.407418, 0.412168, 0.416779, 0.421389, 0.42623, 0.430893, 0.43559, 0.440223, 0.445033, 0.449718, 0.45448, 0.459287, 0.463845, 0.468504, 0.473219, 0.477825, 0.482288, 0.487051, 0.491965, 0.496819, 0.501508, 0.506414, 0.51112, 0.515983, 0.520676, 0.525608, 0.530323, 0.534855, 0.538493},
31 (7380): {0.00443415, 0.0117744, 0.0196305, 0.0275402, 0.0351756, 0.0428744, 0.0503037, 0.0575451, 0.064961, 0.0720878, 0.0792354, 0.085878, 0.0926366, 0.0993744, 0.105883, 0.112545, 0.118993, 0.125548, 0.131865, 0.138162, 0.144387, 0.15061, 0.156618, 0.162723, 0.168505, 0.174378, 0.180323, 0.186116, 0.19185, 0.197562, 0.203133, 0.208661, 0.214223, 0.219585, 0.224928, 0.230294, 0.23568, 0.240911, 0.246111, 0.251246, 0.256471, 0.26158, 0.266666, 0.271717, 0.276722, 0.281746, 0.2867, 0.29155, 0.296454, 0.301262, 0.30592, 0.310645, 0.315443, 0.320265, 0.324929, 0.329743, 0.334591, 0.339346, 0.34397, 0.348794, 0.35369, 0.35848, 0.363307, 0.368152, 0.372918, 0.3776, 0.382435, 0.387177, 0.391937, 0.396732, 0.401618, 0.406388, 0.411241, 0.416001, 0.420852, 0.42549, 0.430329, 0.43507, 0.439746, 0.444473, 0.449207, 0.453995, 0.458766, 0.463573, 0.468383, 0.473184, 0.477876, 0.482506, 0.487223, 0.492077, 0.496909, 0.501585, 0.506334, 0.511039, 0.515862, 0.520634, 0.525439, 0.530341, 0.53494, 0.538493},
32 (25378): {0.00419891, 0.0111668, 0.0187458, 0.0263581, 0.0338165, 0.041193, 0.0483889, 0.0555984, 0.0626464, 0.0696459, 0.0765812, 0.0833988, 0.0901511, 0.0968222, 0.103453, 0.10997, 0.116464, 0.122824, 0.129174, 0.135327, 0.141522, 0.14765, 0.153721, 0.159638, 0.16567, 0.171511, 0.177358, 0.183091, 0.188827, 0.194447, 0.200043, 0.205585, 0.211096, 0.216553, 0.222025, 0.227392, 0.232769, 0.238034, 0.24335, 0.248544, 0.253709, 0.258846, 0.264003, 0.269066, 0.274116, 0.279073, 0.284078, 0.288982, 0.293838, 0.298764, 0.303598, 0.308419, 0.313232, 0.318076, 0.32291, 0.327707, 0.332518, 0.337396, 0.342127, 0.346979, 0.351767, 0.356527, 0.361314, 0.36611, 0.370898, 0.375751, 0.380529, 0.385315, 0.390156, 0.394922, 0.399743, 0.404569, 0.409358, 0.414207, 0.419004, 0.423793, 0.428648, 0.433478, 0.438272, 0.443171, 0.447999, 0.452752, 0.457553, 0.462434, 0.467272, 0.472072, 0.476928, 0.481744, 0.486567, 0.49147, 0.496247, 0.501034, 0.50585, 0.510695, 0.515534, 0.520359, 0.525209, 0.530135, 0.534793, 0.538366},
33 (80935): {0.00397041, 0.0106646, 0.0180466, 0.0254028, 0.0326494, 0.0398305, 0.0468959, 0.0539138, 0.0608423, 0.0676991, 0.0744896, 0.0812182, 0.087892, 0.0944419, 0.100974, 0.107387, 0.113764, 0.120031, 0.126261, 0.132451, 0.138583, 0.144658, 0.150703, 0.156683, 0.16258, 0.168462, 0.174265, 0.180043, 0.185779, 0.191441, 0.19706, 0.202629, 0.20815, 0.213589, 0.219062, 0.224424, 0.229798, 0.235138, 0.240395, 0.245638, 0.250891, 0.256056, 0.261183, 0.266282, 0.271353, 0.27639, 0.281393, 0.286327, 0.291246, 0.296183, 0.301082, 0.305945, 0.310775, 0.315627, 0.320545, 0.325417, 0.330307, 0.335173, 0.34008, 0.344909, 0.349774, 0.354626, 0.359483, 0.364354, 0.369219, 0.374078, 0.378954, 0.383864, 0.388733, 0.393641, 0.398488, 0.403359, 0.408208, 0.413086, 0.417931, 0.422805, 0.42768, 0.432529, 0.437422, 0.442269, 0.44714, 0.452012, 0.456876, 0.461712, 0.466604, 0.471518, 0.476405, 0.481225, 0.486082, 0.490972, 0.495878, 0.500703, 0.505574, 0.510453, 0.515309, 0.520171, 0.52509, 0.529992, 0.534684, 0.538333},
34 (237856): {0.00374169, 0.0101798, 0.0173161, 0.0244719, 0.0315423, 0.0385271, 0.0454349, 0.0522694, 0.059057, 0.0657773, 0.0724706, 0.0790431, 0.0855883, 0.092084, 0.0984848, 0.104857, 0.111185, 0.117426, 0.12362, 0.129768, 0.135893, 0.141905, 0.147916, 0.153846, 0.159721, 0.165565, 0.171351, 0.177088, 0.182767, 0.188428, 0.194043, 0.199615, 0.205139, 0.210616, 0.216068, 0.221496, 0.226877, 0.232217, 0.237519, 0.242795, 0.248035, 0.253238, 0.258413, 0.26355, 0.268637, 0.273709, 0.278723, 0.28374, 0.28872, 0.293677, 0.29859, 0.303521, 0.308454, 0.313357, 0.318273, 0.323196, 0.328126, 0.333047, 0.337966, 0.342906, 0.347802, 0.352735, 0.35766, 0.362596, 0.367502, 0.372429, 0.377343, 0.382267, 0.387189, 0.392118, 0.397039, 0.40197, 0.406892, 0.411787, 0.416677, 0.421614, 0.426505, 0.43143, 0.436339, 0.441271, 0.446177, 0.451091, 0.456001, 0.460909, 0.465831, 0.470737, 0.475664, 0.480575, 0.485515, 0.490448, 0.495338, 0.500274, 0.505177, 0.51009, 0.514992, 0.519927, 0.524844, 0.529799, 0.534533, 0.538283},
