tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,-1.000,-1.000,-1.000,-1.000
175,-1.000,-1.000,-1.000,-1.000
200,-1.000,-1.000,-1.000,-1.000
300,-1.000,-1.000,-1.000,-1.000
400,-1.000,-1.000,-1.000,-1.000
500,-1.000,-1.000,-1.000,-1.000
600,30765.100,-1.000,-1.000,-1.000
700,33056.500,-1.000,-1.000,-1.000
800,153815.300,541317.100,410151.500,657508.900
900,403174.200,747404.600,474170.900,821793.800
1000,340079.800,543583.500,667085.800,711522.500
