tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,-1.000,-1.000,-1.000,-1.000
175,-1.000,-1.000,-1.000,-1.000
200,-1.000,-1.000,-1.000,-1.000
300,-1.000,-1.000,-1.000,-1.000
400,38502.400,-1.000,-1.000,-1.000
500,153881.700,-1.000,-1.000,-1.000
600,552090.800,-1.000,-1.000,-1.000
700,403086.100,-1.000,-1.000,-1.000
800,1012835.100,1438085.500,977373.100,1004557.900
900,806049.200,1001061.900,901212.100,956856.800
1000,852650.100,1378854.000,819837.700,754652.800
