tr,1,2,3,4
50,5011656.300,17613942.200,25398893.500,-1.000
75,6608473.200,17049203.800,25119518.600,32107732.400
100,8826554.300,18155149.200,22670411.300,29809739.400
125,9241189.800,31712364.400,26397332.200,29159899.000
150,9118595.700,30048172.300,25401840.200,30555948.900
175,9539316.900,44239169.400,32793657.500,38821364.400
200,9033979.300,41131157.400,35179932.500,35008508.400
300,12913636.000,45690764.300,37263300.000,40322746.100
400,10150405.100,44910304.100,41096227.300,37802009.700
500,11741046.900,34509317.300,38872857.800,35032263.900
600,13617974.200,37828906.300,32418580.800,35006571.700
700,14346460.300,30188610.500,28400374.500,25803699.000
800,-1.000,-1.000,-1.000,-1.000
900,-1.000,-1.000,-1.000,-1.000
1000,-1.000,-1.000,-1.000,-1.000
