tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,-1.000,-1.000,-1.000,-1.000
175,124653.800,-1.000,-1.000,-1.000
200,118458.200,-1.000,-1.000,-1.000
300,374154.800,-1.000,-1.000,-1.000
400,1581774.300,3471277.000,-1.000,-1.000
500,2114261.000,4058454.300,-1.000,-1.000
600,3537612.400,4085663.000,2619360.600,-1.000
700,3502444.400,3487223.600,2343246.400,1658544.500
800,4441525.800,5628406.800,1845657.500,1067452.800
900,4203968.100,3719048.600,2656175.800,1812163.400
1000,4154150.300,4661967.900,2751692.100,1395587.100
