tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,-1.000,-1.000,-1.000,-1.000
175,-1.000,-1.000,-1.000,-1.000
200,-1.000,-1.000,-1.000,-1.000
300,-1.000,-1.000,-1.000,-1.000
400,75768.800,-1.000,-1.000,-1.000
500,527380.400,-1.000,-1.000,-1.000
600,530408.900,-1.000,-1.000,-1.000
700,985127.000,1248981.100,-1.000,-1.000
800,790719.800,1424016.900,1127604.300,1027414.900
900,868245.800,1547309.600,670150.900,677986.500
1000,2141417.000,1526238.000,436131.400,763366.500
