tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,-1.000,-1.000,-1.000,-1.000
175,-1.000,-1.000,-1.000,-1.000
200,-1.000,-1.000,-1.000,-1.000
300,-1.000,-1.000,-1.000,-1.000
400,-1.000,-1.000,-1.000,-1.000
500,45557.400,-1.000,-1.000,-1.000
600,177218.300,-1.000,-1.000,-1.000
700,178860.400,-1.000,-1.000,-1.000
800,331857.200,1010253.400,758679.800,705402.600
900,750471.400,712289.100,887227.400,812205.200
1000,327785.800,866053.800,549586.000,715338.300
