tr,1,2,3,4
50,300955.600,-1.000,-1.000,-1.000
75,945952.100,-1.000,-1.000,-1.000
100,3090540.600,12929700.300,-1.000,-1.000
125,2631522.700,12235441.400,-1.000,-1.000
150,5073209.100,13935037.200,13569704.400,-1.000
175,4936762.000,12921084.300,13569280.600,-1.000
200,6578534.500,10267201.700,13995185.900,10307651.700
300,6549147.500,16990381.200,13272454.800,10482114.300
400,7458811.200,18078751.400,12773713.500,10383239.200
500,7350364.300,20875621.000,15249023.700,10968465.500
600,7817246.000,19105705.200,16267308.700,13232651.700
700,8556903.300,15877439.400,13573510.000,11963912.900
800,8484885.000,13957819.200,14014628.200,11086246.400
900,6795436.200,14023827.700,12163893.400,11655548.600
1000,5872408.600,12773675.700,12263863.600,9298939.600
