tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,291823.200,-1.000,-1.000,-1.000
125,733698.200,-1.000,-1.000,-1.000
150,878277.300,-1.000,-1.000,-1.000
175,1931251.400,9239481.600,-1.000,-1.000
200,2464525.100,10044790.700,-1.000,-1.000
300,4609478.000,8867633.200,7827879.600,-1.000
400,5728116.200,10897074.000,7970000.500,6299202.500
500,5822737.100,12221578.100,7503514.600,5104304.100
600,6727793.100,12950060.600,8160586.100,6383286.400
700,6758855.500,10418960.400,7627475.100,5573118.800
800,6031360.400,13489235.400,8317944.200,5525650.200
900,6372315.100,10526615.800,7340892.700,5041000.500
1000,6090353.000,10893567.000,8029572.000,6969662.900
