tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,-1.000,-1.000,-1.000,-1.000
175,-1.000,-1.000,-1.000,-1.000
200,-1.000,-1.000,-1.000,-1.000
300,-1.000,-1.000,-1.000,-1.000
400,-1.000,-1.000,-1.000,-1.000
500,-1.000,-1.000,-1.000,-1.000
600,23065.900,-1.000,-1.000,-1.000
700,94954.000,-1.000,-1.000,-1.000
800,252225.400,890044.800,868936.800,784945.400
900,278725.100,631709.400,719324.100,888797.500
1000,444079.800,627360.000,615046.400,648784.900
