tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,-1.000,-1.000,-1.000,-1.000
175,-1.000,-1.000,-1.000,-1.000
200,-1.000,-1.000,-1.000,-1.000
300,-1.000,-1.000,-1.000,-1.000
400,-1.000,-1.000,-1.000,-1.000
500,-1.000,-1.000,-1.000,-1.000
600,-1.000,-1.000,-1.000,-1.000
700,-1.000,-1.000,-1.000,-1.000
800,32075.700,13436.900,2012.500,13545.600
900,79281.300,70417.900,86622.400,72260.700
1000,104008.000,229586.100,102252.300,266403.400
