tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,-1.000,-1.000,-1.000,-1.000
175,-1.000,-1.000,-1.000,-1.000
200,-1.000,-1.000,-1.000,-1.000
300,83464.500,-1.000,-1.000,-1.000
400,263554.400,-1.000,-1.000,-1.000
500,690405.500,-1.000,-1.000,-1.000
600,1209449.100,2117538.100,-1.000,-1.000
700,1050005.400,2149995.100,-1.000,-1.000
800,2359405.100,2104992.400,933667.800,1506920.500
900,1763268.600,2211196.600,1433765.100,974427.100
1000,2449906.500,2039998.800,1176870.800,668006.600
