tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,-1.000,-1.000,-1.000,-1.000
175,-1.000,-1.000,-1.000,-1.000
200,28184.800,-1.000,-1.000,-1.000
300,384401.700,-1.000,-1.000,-1.000
400,1127147.800,3653354.600,-1.000,-1.000
500,1626044.500,3413944.500,-1.000,-1.000
600,2780576.000,2712727.100,1862265.900,-1.000
700,3591533.900,3502033.300,1765462.700,-1.000
800,3372174.200,3746417.900,1996200.800,1258445.900
900,3657089.000,3631658.800,2183832.400,1181202.600
1000,3505971.600,3736533.800,2210448.000,1234346.300
