tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,93559.800,-1.000,-1.000,-1.000
125,214248.200,-1.000,-1.000,-1.000
150,1069068.100,-1.000,-1.000,-1.000
175,1262398.200,-1.000,-1.000,-1.000
200,1452283.900,7932798.700,-1.000,-1.000
300,1469891.700,6873919.200,7005435.200,-1.000
400,4466885.700,7659119.300,5642008.600,4267720.000
500,5903867.300,7884401.500,6331649.300,4068058.000
600,5626353.900,8987414.600,5652184.700,4355654.900
700,6839170.700,8769241.600,5432195.800,3889198.200
800,6072563.100,10335988.900,5743444.800,3980453.900
900,5592480.700,8811459.600,5930165.400,4706691.600
1000,5373797.700,9675601.100,6377381.000,3861381.200
