tr,1,2,3,4
50,247968.200,-1.000,-1.000,-1.000
75,2075712.500,14399770.400,-1.000,-1.000
100,2946707.500,14885410.000,-1.000,-1.000
125,5167095.100,15075446.600,16725449.700,-1.000
150,5873061.100,14988592.200,16009992.800,16422623.400
175,7451750.000,16625430.500,15613166.500,13289685.100
200,7508469.600,14274592.400,18343544.300,15419462.300
300,8011381.800,25661982.500,18803508.800,14228940.100
400,9045064.500,23931297.600,19377555.000,15580931.100
500,9000020.500,22797200.400,18160858.500,21456311.200
600,11176269.100,21612950.300,20697539.600,17492022.700
700,8107454.700,21603629.100,18274765.300,17439060.500
800,7479049.800,19642054.000,16868220.500,16494146.600
900,7533720.000,16190260.100,14170708.200,14521437.600
1000,6695400.600,14218249.900,14004224.800,13206837.900
