tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,-1.000,-1.000,-1.000,-1.000
175,-1.000,-1.000,-1.000,-1.000
200,-1.000,-1.000,-1.000,-1.000
300,-1.000,-1.000,-1.000,-1.000
400,7858.400,-1.000,-1.000,-1.000
500,35392.600,-1.000,-1.000,-1.000
600,427749.100,-1.000,-1.000,-1.000
700,285177.800,-1.000,-1.000,-1.000
800,722328.000,1070171.800,885585.800,1001292.600
900,550715.300,784142.100,750471.400,725659.600
1000,438520.900,1169188.200,696408.000,837733.900
