tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,62696.800,-1.000,-1.000,-1.000
150,263942.300,-1.000,-1.000,-1.000
175,543197.800,-1.000,-1.000,-1.000
200,927953.200,-1.000,-1.000,-1.000
300,2184062.600,6061946.800,-1.000,-1.000
400,4060820.600,5963992.000,4027101.000,-1.000
500,3961674.100,7083381.600,4196870.800,3009808.000
600,5785767.600,5812121.600,5209423.000,1985284.200
700,5573420.000,6152151.100,3897618.400,2332870.100
800,5419394.900,7785912.400,4422934.000,2999888.000
900,5038796.200,7014784.200,3133467.800,2641006.400
1000,4655258.800,6771811.500,4312194.200,3174237.000
