tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,-1.000,-1.000,-1.000,-1.000
175,-1.000,-1.000,-1.000,-1.000
200,-1.000,-1.000,-1.000,-1.000
300,300688.100,-1.000,-1.000,-1.000
400,806107.800,-1.000,-1.000,-1.000
500,1878220.700,2280894.700,-1.000,-1.000
600,1186216.100,2310776.200,-1.000,-1.000
700,2584584.000,3266193.000,1376098.200,-1.000
800,2022007.000,2272789.700,981573.900,953761.300
900,2621788.900,3267669.700,1531587.300,930864.500
1000,3318777.400,2634806.100,1635341.900,846022.200
