tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,-1.000,-1.000,-1.000,-1.000
175,-1.000,-1.000,-1.000,-1.000
200,-1.000,-1.000,-1.000,-1.000
300,-1.000,-1.000,-1.000,-1.000
400,-1.000,-1.000,-1.000,-1.000
500,-1.000,-1.000,-1.000,-1.000
600,-1.000,-1.000,-1.000,-1.000
700,-1.000,-1.000,-1.000,-1.000
800,85164.300,61137.700,18884.700,32007.400
900,327472.800,120967.400,140863.400,195774.400
1000,121448.200,275312.400,224539.500,209720.600
