tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,-1.000,-1.000,-1.000,-1.000
175,-1.000,-1.000,-1.000,-1.000
200,-1.000,-1.000,-1.000,-1.000
300,76514.500,-1.000,-1.000,-1.000
400,417067.400,-1.000,-1.000,-1.000
500,529252.900,-1.000,-1.000,-1.000
600,708330.500,1640578.600,-1.000,-1.000
700,1265818.700,1637871.000,-1.000,-1.000
800,564995.400,1982709.600,886690.100,1407296.800
900,2475149.200,1536534.200,713424.800,787383.800
1000,1447964.500,1410815.600,840678.600,720210.900
