tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,-1.000,-1.000,-1.000,-1.000
175,-1.000,-1.000,-1.000,-1.000
200,-1.000,-1.000,-1.000,-1.000
300,-1.000,-1.000,-1.000,-1.000
400,-1.000,-1.000,-1.000,-1.000
500,-1.000,-1.000,-1.000,-1.000
600,-1.000,-1.000,-1.000,-1.000
700,-1.000,-1.000,-1.000,-1.000
800,70120.300,234444.800,38604.400,81006.600
900,246039.600,450998.500,345430.900,519554.300
1000,296396.400,645137.700,479193.000,517087.100
