tr,1,2,3,4
50,2136033.600,16000471.600,-1.000,-1.000
75,2414362.400,19978158.900,19603874.600,-1.000
100,5581765.400,15065883.700,17933188.200,19053872.800
125,7473728.500,18018668.000,21339078.200,25479865.200
150,8075327.300,18963871.700,19597639.400,23081409.500
175,7452290.400,25997836.800,21232327.000,22187799.200
200,8393759.200,26476482.100,21306758.100,22186506.900
300,9310143.400,34748449.000,29163124.900,23130057.100
400,10499223.700,32478204.300,29582284.500,26168081.200
500,9417822.200,30747663.200,27397066.000,26029155.500
600,8771618.900,29821131.400,26855021.400,25605493.900
700,9866553.800,23950759.200,23367336.200,20714930.400
800,9893465.700,20344981.600,20038994.800,19772903.800
900,-1.000,-1.000,-1.000,-1.000
1000,-1.000,-1.000,-1.000,-1.000
