tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,72745.500,-1.000,-1.000,-1.000
175,255701.300,-1.000,-1.000,-1.000
200,264349.500,-1.000,-1.000,-1.000
300,683273.000,4648780.900,-1.000,-1.000
400,2150073.400,5049735.700,-1.000,-1.000
500,3088891.300,5730438.700,3235810.700,-1.000
600,4540339.100,6231372.000,3142252.800,2012490.700
700,4173470.000,4964425.900,3414010.100,2169273.900
800,3849569.500,4993006.300,3214072.900,2305830.200
900,4486574.800,5236889.900,3528792.600,1840083.900
1000,5112532.500,5502961.700,2042529.300,2397625.700
