tr,1,2,3,4,5,6,7,8
50,10493747.720,49634142.120,43602000.320,38113561.600,62674200.340,72574333.920,72692459.800,72733803.820
75,12463451.540,63627375.860,65489118.060,67630490.460,87959008.700,74731933.580,73791721.820,73001734.100
100,10917587.360,72798343.900,72114185.080,92415405.300,112191274.020,102159984.420,72447791.280,69530923.740
125,12975795.260,67914408.860,86718089.120,98619432.460,116384356.140,110837092.860,99955394.380,88659686.060
150,14393432.600,69460355.440,87093672.480,98643140.720,122016776.280,116039689.100,99629149.000,87483611.420
175,19156460.360,78950006.580,85599700.620,106752879.620,122540330.080,120424080.180,110802995.720,93235588.820
200,19804086.040,87869629.080,82556187.900,107177477.200,125485942.020,119686529.780,111549120.160,96953025.960
300,31541403.200,78326334.360,84808346.140,86644568.280,103077612.120,103171750.600,92104596.660,85058935.120
400,40444588.440,63669454.320,69242975.580,76137542.760,79803000.480,80196836.320,76040045.360,71347933.360
500,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
600,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
700,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
800,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
900,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
1000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
