tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,-1.000,-1.000,-1.000,-1.000
175,-1.000,-1.000,-1.000,-1.000
200,-1.000,-1.000,-1.000,-1.000
300,-1.000,-1.000,-1.000,-1.000
400,-1.000,-1.000,-1.000,-1.000
500,-1.000,-1.000,-1.000,-1.000
600,-1.000,-1.000,-1.000,-1.000
700,13575.600,-1.000,-1.000,-1.000
800,200904.200,335939.400,364366.200,210152.900
900,165175.100,461396.700,730149.500,723468.500
1000,408698.700,492984.300,547287.600,498510.300
