tr,1,2,3,4
50,-1.000,-1.000,-1.000,-1.000
75,-1.000,-1.000,-1.000,-1.000
100,-1.000,-1.000,-1.000,-1.000
125,-1.000,-1.000,-1.000,-1.000
150,-1.000,-1.000,-1.000,-1.000
175,-1.000,-1.000,-1.000,-1.000
200,-1.000,-1.000,-1.000,-1.000
300,-1.000,-1.000,-1.000,-1.000
400,-1.000,-1.000,-1.000,-1.000
500,28737.500,-1.000,-1.000,-1.000
600,107034.100,-1.000,-1.000,-1.000
700,265254.800,-1.000,-1.000,-1.000
800,498200.800,1165640.300,869654.000,827073.300
900,280449.100,727523.500,624160.000,802628.700
1000,512827.000,762029.800,563129.400,603333.200
