0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
0, 0, 0, 0, 0, 1.23585, 4.38243, 6.92241, 12.3476, 14.4388, 19.4997, 21.2839, 26.211, 27.2507, 30.1589, 30.5773, 31.5679, 33.3793, 34.0921, 34.25, 35.6734, 34.6245, 36.0604, 35.5571, 35.8117, 35.7763, 36.0378, 34.8878, 37.42, 35.5888, 35.6092, 34.788, 35.9195, 35.7165, 35.1965, 34.9834, 34.7606, 34.9362, 34.1361, 34.8068, 33.2669, 33.0877, 32.5401, 33.1037, 32.1831, 29.9593, 30.8595, 30.3099, 30.386, 29.2146, 30.3354, 29.8933, 29.0998, 27.8573, 27.9812, 27.9131, 26.8434, 26.7339, 27.1383, 26.0171, 25.6781, 25.526, 24.5327, 24.3648, 24.113, 23.5861, 23.1229, 23.1363, 22.2872, 22.4691, 22.9572, 20.4874, 21.2102, 20.5033, 19.2757, 19.1317, 19.5161, 19.4738, 18.1818, 18.1008, 17.8027, 17.4926, 16.5277, 16.9838, 16.6792, 16.3233, 16.2003, 16.4614, 16.2691, 14.6404, 14.8852, 14.9744, 14.4706, 14.8184, 14.5669, 14.9955, 14.269, 14.9287, 14.6818, 13.4304, 13.8385, 14.7527
1, 0, 0, 0, 0, 1.12441, 3.84132, 7.87299, 11.3051, 16.438, 19.5384, 22.4393, 25.4276, 28.7209, 31.1653, 31.4553, 32.2447, 34.1238, 35.1105, 35.3654, 36.6063, 36.1316, 36.5809, 36.3611, 35.9353, 35.816, 36.6574, 37.017, 35.9827, 36.4049, 36.3962, 36.2451, 35.7079, 35.7792, 35.7183, 36.1076, 34.2285, 34.747, 33.9333, 34.0458, 34.0653, 32.7963, 32.9174, 33.4147, 33.3145, 31.2218, 31.177, 31.7164, 30.5711, 31.1788, 30.1302, 28.6998, 29.4803, 29.0068, 28.992, 27.8424, 27.428, 27.4106, 26.6009, 25.9809, 25.6934, 26.0908, 24.9185, 24.3572, 23.4539, 22.7358, 22.4328, 22.7046, 22.4986, 21.8192, 21.6084, 19.7359, 20.7402, 19.4556, 19.5998, 19.8123, 18.911, 19.2943, 18.372, 18.784, 18.5281, 17.4224, 17.5835, 17.6902, 16.2932, 16.0008, 15.7857, 16.413, 15.7384, 15.718, 15.3364, 16.6033, 15.0003, 15.6886, 14.7998, 14.5287, 14.584, 14.371, 14.2406, 14.6091, 15.2114, 0
2, 0, 0, 0, 0, 1.28123, 3.57756, 7.33332, 11.624, 15.2616, 19.323, 23.1181, 26.0763, 29.0178, 31.0574, 31.4143, 33.6484, 33.8816, 33.9698, 35.4921, 35.1751, 36.1824, 36.6593, 36.1798, 37.1678, 36.1077, 36.2715, 35.9684, 36.7473, 35.5614, 36.2098, 36.405, 35.3504, 35.2229, 36.1417, 34.8312, 33.7229, 34.2695, 34.1297, 34.8252, 33.4054, 34.4958, 33.4703, 31.5559, 32.1324, 31.1018, 31.237, 30.0242, 31.3069, 30.0882, 29.874, 30.3829, 28.9306, 28.5331, 27.7595, 28.858, 27.3932, 28.3114, 26.1543, 25.9553, 24.7195, 25.4254, 23.9775, 24.8971, 24.0367, 23.1913, 22.4423, 22.7473, 22.0653, 21.9921, 21.4473, 21.3301, 21.0894, 20.3637, 19.5368, 19.4353, 19.0155, 18.7667, 18.0815, 18.3571, 18.566, 16.7462, 17.8328, 17.0506, 16.9953, 17.1051, 15.4191, 15.8983, 14.8041, 15.915, 15.2484, 14.7202, 14.8701, 14.2091, 15.2889, 14.8477, 15.2435, 14.2353, 14.415, 14.0712, 0, 0
3, 0, 0, 0, 0, 1.14683, 3.74292, 7.72375, 11.7889, 15.2741, 19.3117, 23.6987, 26.2275, 28.5361, 29.7334, 31.85, 32.3133, 33.7726, 34.0388, 35.0819, 35.1753, 35.5011, 35.6448, 36.6065, 36.3192, 36.6304, 36.7366, 36.876, 36.3398, 35.854, 36.0724, 34.9318, 35.8582, 36.3405, 35.8653, 34.4851, 34.4275, 34.4658, 33.8607, 34.0154, 33.9188, 32.5012, 33.0413, 32.5043, 31.8277, 31.9285, 31.1187, 30.7457, 31.1212, 30.4493, 29.409, 29.6178, 28.0844, 28.3508, 28.1459, 28.4585, 26.8237, 26.8395, 26.9333, 25.4427, 25.08, 25.6464, 23.8335, 23.7827, 23.3426, 23.3598, 22.4802, 22.4801, 22.1171, 21.3544, 21.6043, 20.5599, 19.8983, 20.2314, 19.4501, 19.7727, 18.7014, 18.8179, 18.0229, 17.8203, 17.4532, 17.1397, 16.6471, 15.8834, 16.4357, 16.2335, 15.5399, 15.5008, 15.9825, 15.6061, 15.5397, 14.3729, 15.0522, 14.7935, 13.6709, 14.8882, 14.3301, 14.0796, 14.5603, 0, 0, 0
4, 0, 0, 0, 0, 1.2166, 3.18579, 7.28884, 11.2001, 16.0742, 19.2346, 22.4913, 25.0801, 27.067, 29.285, 31.0335, 32.1188, 33.7487, 33.6169, 34.238, 34.8308, 36.2369, 35.8945, 36.4749, 35.3725, 35.5498, 34.7337, 35.6108, 35.4352, 36.176, 34.6164, 35.2338, 35.0695, 34.0952, 33.9012, 33.5601, 34.3791, 34.0351, 33.5676, 33.3717, 32.9853, 31.5607, 32.2167, 31.4217, 30.9757, 30.4812, 31.0567, 29.9124, 29.2713, 29.5936, 29.4973, 27.5927, 28.413, 27.9267, 27.5007, 26.7486, 26.6348, 26.3676, 25.4469, 24.899, 24.2764, 24.333, 24.2719, 23.3047, 23.5504, 22.8751, 22.0599, 21.0669, 21.5504, 20.507, 20.5693, 20.9002, 20.6338, 19.8661, 20.1426, 19.0391, 18.2589, 18.1862, 17.8976, 17.8202, 16.8462, 16.8302, 16.7647, 16.7972, 16.3644, 17.2863, 15.7968, 15.5941, 15.026, 15.3706, 15.1296, 15.0099, 14.6407, 14.7359, 14.9669, 14.5124, 14.5131, 14.5578, 0, 0, 0, 0
5, 0, 0, 0, 0, 1.13771, 3.26676, 7.00582, 11.3018, 15.1912, 18.6931, 22.8022, 25.3238, 28.0453, 29.5909, 31.0004, 32.2791, 32.8569, 33.895, 34.3849, 34.5375, 33.7979, 34.8695, 36.2209, 35.3378, 35.3412, 35.343, 34.4466, 35.5324, 35.0355, 34.2818, 35.4403, 34.0275, 34.4287, 34.0086, 33.2702, 33.63, 33.5259, 32.9262, 32.5877, 32.8079, 31.464, 31.3838, 31.1766, 31.1435, 30.2649, 29.9811, 29.8368, 28.348, 28.6285, 28.6446, 27.4882, 28.0409, 26.8235, 26.9991, 25.8691, 26.3787, 25.3152, 25.0491, 24.9246, 24.1327, 23.9348, 23.4652, 23.1978, 22.4767, 22.2328, 21.0738, 21.6787, 20.7177, 20.0028, 20.6473, 19.6786, 19.1886, 19.0011, 18.5857, 18.5684, 18.1914, 17.9535, 17.5964, 17.4066, 16.6185, 16.8854, 16.6622, 16.4212, 15.1992, 15.4062, 15.555, 15.3485, 15.5927, 14.8964, 14.9136, 14.6894, 15.1633, 14.0085, 14.4734, 14.1894, 14.2008, 0, 0, 0, 0, 0
6, 0, 0, 0, 0, 1.29366, 3.50742, 7.47365, 11.1212, 15.1054, 18.8574, 21.9094, 24.1759, 25.8188, 28.0579, 30.9054, 30.2357, 32.2108, 33.5326, 33.812, 34.149, 34.2475, 34.8468, 34.1288, 33.9642, 34.0307, 34.6101, 34.0566, 34.0145, 34.4098, 34.1933, 33.2172, 33.6336, 33.4314, 33.5009, 32.8027, 31.9428, 32.4888, 32.3373, 31.995, 30.5998, 31.5986, 31.5774, 30.3843, 29.7753, 29.6551, 28.9338, 28.9825, 28.5804, 28.8326, 27.7782, 27.4922, 27.5999, 27.4892, 26.3177, 25.515, 25.1874, 24.9236, 24.2472, 24.3301, 23.6161, 24.1522, 22.748, 22.5181, 21.9295, 21.8779, 21.3517, 20.6941, 20.8653, 20.4215, 19.6318, 19.4633, 18.1318, 19.2845, 18.9145, 18.305, 17.9149, 18.0392, 17.2546, 17.3097, 16.3164, 16.3634, 16.1387, 15.8466, 15.6282, 15.7899, 15.2635, 15.1253, 14.9288, 15.2107, 15.1602, 14.1322, 14.6753, 14.6168, 14.7066, 14.3181, 0, 0, 0, 0, 0, 0
7, 0, 0, 0, 0, 1.3277, 3.33873, 6.88182, 10.2157, 14.5828, 18.1084, 21.5968, 24.2183, 25.697, 28.1947, 28.979, 30.6357, 30.8752, 31.9731, 32.429, 32.7534, 32.7331, 34.0719, 34.0849, 33.8778, 33.4529, 33.7262, 34.9395, 33.9668, 33.3041, 32.8792, 32.9431, 32.6157, 31.5907, 32.1467, 31.8914, 31.5707, 31.8381, 31.3733, 30.6155, 30.8379, 30.1394, 30.1102, 29.7571, 28.767, 28.9096, 28.4808, 28.6384, 27.1406, 28.2093, 27.1168, 27.3544, 26.8469, 25.916, 25.4853, 25.8884, 24.6151, 24.5906, 24.2689, 24.0177, 22.9362, 23.0918, 21.8417, 21.6244, 22.4146, 20.6705, 20.8401, 20.3356, 19.5601, 19.3125, 20.0575, 18.8133, 18.5304, 18.4856, 17.7051, 18.0378, 17.0604, 17.2562, 16.4695, 17.0083, 15.9487, 15.8159, 15.8578, 15.3837, 15.5736, 15.5423, 14.6603, 14.6415, 15.0028, 14.7398, 14.0682, 14.1806, 14.2181, 14.235, 13.896, 0, 0, 0, 0, 0, 0, 0
8, 0, 0, 0, 0, 1.05156, 3.36664, 6.65904, 10.658, 14.0802, 17.6886, 21.3687, 23.9843, 25.7363, 27.7409, 29.3082, 29.8508, 30.4894, 31.0828, 32.1097, 31.9144, 33.3055, 32.9835, 33.4924, 32.8245, 32.7894, 33.5408, 33.8077, 32.9642, 32.7976, 32.6853, 31.4485, 32.4554, 31.7666, 31.6097, 31.5239, 31.456, 30.5899, 30.7583, 30.1101, 30.3866, 29.5252, 29.2319, 29.4103, 27.9337, 28.022, 27.9655, 27.5138, 26.8308, 27.0512, 26.3701, 26.0449, 26.0269, 25.4515, 25.0491, 25.051, 24.0236, 24.0461, 23.0612, 22.9845, 22.2381, 22.3271, 22.2871, 21.4596, 20.9119, 21.1063, 20.0209, 19.9611, 19.9413, 19.4341, 19.3685, 18.6603, 18.358, 17.5738, 17.5508, 16.7785, 17.0563, 16.3264, 16.091, 16.2816, 15.5873, 15.6211, 15.2121, 15.4228, 14.7336, 14.9817, 14.8828, 14.6248, 14.408, 14.6012, 14.2736, 13.8757, 13.849, 14.1943, 0, 0, 0, 0, 0, 0, 0, 0
9, 0, 0, 0, 0, 0.968001, 3.45783, 6.27149, 10.1698, 14.2064, 17.51, 20.3107, 23.115, 25.6754, 26.9521, 28.51, 29.504, 30.2879, 30.9872, 31.1483, 32.0449, 32.1766, 32.2785, 32.7957, 31.9561, 32.6312, 31.9438, 32.2053, 31.7975, 32.2582, 31.3176, 31.7567, 31.092, 31.0123, 31.1949, 30.4249, 30.6611, 30.5412, 29.1467, 29.9474, 29.7475, 28.3843, 28.8825, 28.5177, 28.2403, 27.804, 27.5645, 26.7224, 26.76, 26.3616, 26.4853, 25.1037, 24.5398, 25.1125, 24.7891, 24.6241, 23.2583, 23.2383, 22.9692, 22.197, 22.2687, 21.3324, 21.1714, 20.816, 20.5729, 20.1439, 20.4731, 19.4334, 18.7283, 18.8921, 18.3051, 18.1464, 18.4782, 17.4697, 17.1854, 17.2095, 16.7411, 16.335, 15.8536, 15.3663, 15.4087, 15.5642, 15.2053, 14.6476, 14.3561, 14.3182, 14.603, 14.0157, 14.2432, 14.2376, 14.3417, 13.8027, 15.0562, 0, 0, 0, 0, 0, 0, 0, 0, 0
